id,trigger,conditions,script,text,options,notes
#ExerelinPlayerFactionDiplomacyCheckConditions2,ExerelinMarketSpecialInitialize,"!$market.mc:regional_capital
!$market.mc:headquarters
!$market.mc:military_base
!$market.mc:tem_avalon",$showPlayerFactionDiplomacyOptions = false 0,,,
,,,,,,
ExerelinJoinAllianceOption,ExerelinMarketSpecial,"$showPlayerFactionDiplomacyOptions
!$player.isInAlliance
$faction.isInAlliance","SetEnabled exerelinJoinAlliance true
Nex_AddOptionConfirmation exerelinJoinAlliance ""Are you sure you want your faction to join alliance $_factionAllianceName?"" ""Yes"" ""No""",,exerelinJoinAlliance:Join alliance $_factionAllianceName,
ExerelinJoinAllianceOptionUntrusted,ExerelinMarketSpecial,"$showPlayerFactionDiplomacyOptions
!Nex_Alliance enoughRep $player.factionId $faction.allianceId","SetTooltip exerelinJoinAlliance ""The $_factionAllianceName do not trust you enough yet.""
SetEnabled exerelinJoinAlliance false",,,
ExerelinJoinAllianceSwitchOption,ExerelinMarketSpecial,"$showPlayerFactionDiplomacyOptions
$player.isInAlliance
$faction.isInAlliance
$faction.allianceId != $player.allianceId","SetTooltip exerelinJoinAlliance ""To join alliance $_factionAllianceName your faction will leave $_playerAllianceName.""
SetEnabled exerelinJoinAlliance true
Nex_AddOptionConfirmation exerelinJoinAlliance ""Are you sure you want your faction to leave $_playerAllianceName and join $_factionAllianceName?"" ""Yes"" ""No""",,exerelinJoinAlliance:Join (switch to) alliance $_factionAllianceName,
ExerelinJoinAllianceSwitchOptionUntrusted,ExerelinMarketSpecial,"$showPlayerFactionDiplomacyOptions
$player.isInAlliance
$faction.isInAlliance
$faction.allianceId != $player.allianceId
!Nex_Alliance enoughRep $player.factionId $faction.allianceId","SetTooltip exerelinJoinAlliance ""The $_factionAllianceName do not trust you enough yet.\nTo join alliance $_factionAllianceName your faction would leave $_playerAllianceName.""
SetEnabled exerelinJoinAlliance false",,,
,,,,,,
ExerelinInviteToAllianceOption,ExerelinMarketSpecial,"$showPlayerFactionDiplomacyOptions
$player.isInAlliance
$faction.allianceId != $player.allianceId","SetEnabled exerelinInviteToAlliance true
Nex_AddOptionConfirmation exerelinInviteToAlliance ""Are you sure you want to invite $theFaction to join alliance $_playerAllianceName?"" ""Yes"" ""No""",,exerelinInviteToAlliance:Invite $theFaction to join alliance $_playerAllianceName,
ExerelinInviteToAllianceOptionUntrusted,ExerelinMarketSpecial,"$showPlayerFactionDiplomacyOptions
!$faction.isInAlliance
!Nex_Alliance enoughRep $faction.id $player.allianceId","SetTooltip exerelinInviteToAlliance ""$TheFaction do not trust the $_playerAllianceName enough yet.""
SetEnabled exerelinInviteToAlliance false",,,
ExerelinInviteToAllianceOptionAlreadyInAlliance,ExerelinMarketSpecial,"$showPlayerFactionDiplomacyOptions
$faction.isInAlliance
$faction.allianceId != $player.allianceId","SetTooltip exerelinInviteToAlliance ""$TheFaction is already in an alliance.""
SetEnabled exerelinInviteToAlliance false",,,
ExerelinInviteToAllianceOptionIncompatible,ExerelinMarketSpecial,"$showPlayerFactionDiplomacyOptions
!$faction.isInAlliance
!Nex_Alliance isAlignmentCompatible $faction.id $player.allianceId","SetTooltip exerelinInviteToAlliance ""$TheFaction cannot endorse the goals of the $_playerAllianceName.""
SetEnabled exerelinInviteToAlliance false",,,
,,,,,,
ExerelinFormAllianceOption,ExerelinMarketSpecial,"$showPlayerFactionDiplomacyOptions
!$player.isInAlliance
!$faction.isInAlliance","SetEnabled exerelinFormAlliance true
Nex_AddOptionConfirmation exerelinFormAlliance ""Are you sure you want to form a new alliance with $theFaction?"" ""Yes"" ""No""",,exerelinFormAlliance:Invite $theFaction to form a new alliance,
ExerelinFormAllianceOptionUntrusted,ExerelinMarketSpecial,"$showPlayerFactionDiplomacyOptions
!$player.isInAlliance
!$faction.isInAlliance
!RepIsAtWorst $faction.id FRIENDLY","SetTooltip exerelinFormAlliance ""$TheFaction do not trust you enough yet.""
SetEnabled exerelinFormAlliance false",,,
ExerelinFormAllianceOptionAlreadyInAlliance,ExerelinMarketSpecial,"$showPlayerFactionDiplomacyOptions
!$player.isInAlliance
$faction.isInAlliance","SetTooltip exerelinFormAlliance ""$TheFaction is already in an alliance.""
SetEnabled exerelinFormAlliance false",,,
ExerelinLeaveAllianceOption,ExerelinMarketSpecial,"$hasMarket
Nex_IsFactionRuler
$player.isInAlliance
$faction.isInAlliance
$faction.allianceId == $player.allianceId","$_factionAllianceName = $faction.allianceName 0
$_playerAllianceName = $player.allianceName 0
Nex_AddOptionConfirmation exerelinLeaveAlliance ""Are you sure you want your faction to leave alliance $_playerAllianceName?"" ""Yes"" ""No""",,exerelinLeaveAlliance:Leave alliance $_factionAllianceName,
,,,,,,
ExerelinJoinAlliance,DialogOptionSelected,$option == exerelinJoinAlliance,"Nex_Alliance join
FireAll ExerelinMarketSpecialInitialize",,,
ExerelinInviteToAlliance,DialogOptionSelected,$option == exerelinInviteToAlliance,"Nex_Alliance invite
FireAll ExerelinMarketSpecialInitialize",,,
ExerelinFormAlliance,DialogOptionSelected,$option == exerelinFormAlliance,"Nex_Alliance form
FireAll ExerelinMarketSpecialInitialize",,,
ExerelinLeaveAlliance,DialogOptionSelected,$option == exerelinLeaveAlliance,"Nex_Alliance leave
FireAll ExerelinMarketSpecialInitialize",,,
#END Alliance options,,,,,,
,,,,,,
# remote comm link,,,,,,
#nex_remoteCommOption,ExerelinMarketSpecial,,SetShortcut nex_remoteComm R,,8:nex_remoteComm:Open remote comm directory,
nex_remoteComm,DialogOptionSelected,$option == nex_remoteComm,FireAll Nex_RemoteComm,,,
nex_remoteCommByTrigger,Nex_RemoteComm,,Nex_RemoteCommDirectory list,Which faction do you want to look up?,,
nex_remoteCommConnect,DialogOptionSelected,"Nex_OptionStartsWith ""nex_remoteCommDirectory_open_""",Nex_RemoteCommDirectory connect,,,
#END remote comm link,,,,,,
,,,,,,
# Market transfer options,,,,,,
nex_marketTransferInit,PopulateOptions,"Nex_IsBaseOfficial admin
Nex_IsFactionRuler $faction.id",,,nex_transferMarketMainWithDialog:Transfer this market to another faction,
nex_marketTransferInitNoSpaceport,PopulateOptions,"Nex_IsBaseOfficial admin
Nex_IsFactionRuler $faction.id
!Nex_TransferMarket hasSpaceport","SetTooltip nex_transferMarketMainWithDialog ""Requires a functional spaceport for any potential recipient to consider accepting.""
SetEnabled nex_transferMarketMainWithDialog false",,,
,,,,,,
nex_marketTransfer,DialogOptionSelected,$option == nex_transferMarketMain,FireAll Nex_MarketTransferMain,,,
nex_marketTransferWithDialog,DialogOptionSelected,$option == nex_transferMarketMainWithDialog,"Nex_TransferMarket printRepChange
FireAll Nex_MarketTransferMain","""You truly wish to give away $market? Very well, to whom?""",,
nex_marketTransferByTrigger,Nex_MarketTransferMain,,Nex_TransferMarket listGroups,,,
,,,,,,
nex_marketTransferList1,DialogOptionSelected,$option == nex_transferMarketList1,Nex_TransferMarket listFactions 1,,,
nex_marketTransferList2,DialogOptionSelected,$option == nex_transferMarketList2,Nex_TransferMarket listFactions 2,,,
nex_marketTransferList3,DialogOptionSelected,$option == nex_transferMarketList3,Nex_TransferMarket listFactions 3,,,
nex_marketTransferList4,DialogOptionSelected,$option == nex_transferMarketList4,Nex_TransferMarket listFactions 4,,,
nex_marketTransferList5,DialogOptionSelected,$option == nex_transferMarketList5,Nex_TransferMarket listFactions 5,,,
nex_marketTransferList6,DialogOptionSelected,$option == nex_transferMarketList6,Nex_TransferMarket listFactions 6,,,
nex_marketTransferList7,DialogOptionSelected,$option == nex_transferMarketList7,Nex_TransferMarket listFactions 7,,,
nex_marketTransferList8,DialogOptionSelected,$option == nex_transferMarketList8,Nex_TransferMarket listFactions 8,,,
,,,,,,
nex_marketTransferExecute,DialogOptionSelected,"Nex_OptionStartsWith ""nex_transferMarket_""","Nex_TransferMarket transfer
FireAll Nex_MarketPostTransfer",,,
,,,,,,
nex_marketTransferPostDialog,Nex_MarketPostTransfer,,"AddText ""\""As you command. $market is now in possession of $entity._newFaction.""
AddText ""\""Goodbye, chief.\""""",,nex_transferMarketEnd:Cut the comm link,
nex_marketTransferPostDialogLeave,DialogOptionSelected,$option == nex_transferMarketEnd,"UpdateMemory
ShowDefaultVisual
EndConversation",,,
#END Market transfer options,,,,,,
,,,,,,
# Rebellion options,,,,,,
#nex_instigateRebellion,Nex_HostileAction,,,,6:nex_instigateRebellion:Instigate a rebellion,
#nex_instigateRebellionNoSneak,Nex_HostileAction,$tradeMode == NONE,"SetTooltip nex_instigateRebellion ""You currently do not have access to $market to insert the needed assets.""
SetEnabled nex_instigateRebellion false",,,
#nex_instigateRebellionAlreadyOngoing,Nex_HostileAction,Nex_RebellionActions isOngoing,"SetTooltip nex_instigateRebellion ""A rebellion is already in progress on $market.""
SetEnabled nex_instigateRebellion false",,,
#nex_instigateRebellionInit,DialogOptionSelected,$option == nex_instigateRebellion,"Nex_InstigateRebellion init
SetShortcut nex_instigateRebellionProceed RETURN
SetShortcut nex_hostileActionMenu ESCAPE","You can attempt to start a rebellion on $market. This will always succeed but will cost a significant amount of resources, and $theFaction will turn hostile if your actions are discovered.","nex_instigateRebellionProceed:Proceed
nex_hostileActionMenu:Cancel",
#nex_instigateRebellionProceed,DialogOptionSelected,$option == nex_instigateRebellionProceed,"Nex_InstigateRebellion proceed
FireAll Nex_HostileAction",,,
,,,,,,
nex_supplyInsurgencyGreeting,PickGreeting,$nex_rebel_representative,"ShowPersonVisual
FireAll Nex_InsurgencyCheckRep","After a short wait, your connection request is accepted.

""Yes?""","nex_supplyInsurgency:""I can provide your rebellion with some useful materiel.""
0:cutCommLink:Cut the comm link",
nex_supplyInsurgencyGreeting_TooLowRep,Nex_InsurgencyCheckRep,!Nex_RebellionActions enoughRepToSupply,"SetTooltip nex_supplyInsurgency ""$TheFaction simply do not trust you to supply them.""
SetEnabled nex_supplyInsurgency false",,,
nex_supplyInsurgencyGreeting_NeedTOff,PickGreeting,"$nex_rebel_representative
$player.transponderOn
$hostileToMarket score:100",ShowPersonVisual,"After a short wait, your connection request is accepted.

""What do you want? I have no business with you.""

On the balance of things, perhaps waltzing into port with your transponder on and broadcasting your identity, in order to get in touch with an underworld figure, wasn't the best idea you've ever had.",0:cutCommLink:Cut the comm link,
nex_supplyInsurgencyGreeting_Player,PickGreeting,"$nex_rebel_representative
$market.nex_isTruePlayerOwned",ShowPersonVisual,"Your connection request goes unanswered, even after waiting for several minutes. Which makes sense, if you think about it for a while.",0:cutCommLink:Cut the comm link,
nex_supplyInsurgency,DialogOptionSelected,$option == nex_supplyInsurgency,"AddText ""\""Well, well. For our glorious cause, we will gladly take any supplies, hand weapons or marines you possess, paying market rates. $TheFaction will remember you, when the revolution is triumphant.\""""
Nex_RebellionActions main
Nex_RebellionActions printPriceMult",,,
nex_supplyInsurgencyProceed,DialogOptionSelected,"Nex_OptionStartsWith ""nex_supplyInsurgency_deliver_""",Nex_RebellionActions deliver,,,
nex_supplyInsurgencyBack,DialogOptionSelected,$option == nex_supplyInsurgencyBack,"ShowDefaultVisual
EndConversation",,,
,,,,,,
nex_supplyCounterInsurgencyOption,PopulateOptions,"Nex_IsBaseOfficial admin
Nex_RebellionActions isOngoing",,,"nex_supplyCounterInsurgency:""I can help with your rebellion problem.""",
nex_supplyCounterInsurgencyOptionTooLowRep,PopulateOptions,"Nex_IsBaseOfficial admin
Nex_RebellionActions isOngoing
!Nex_RebellionActions enoughRepToSupply","SetTooltip nex_supplyCounterInsurgency ""$TheFaction simply do not trust you to supply them.""
SetEnabled nex_supplyCounterInsurgency false",,,
nex_supplyCounterInsurgency,DialogOptionSelected,$option == nex_supplyCounterInsurgency,"AddText ""\""Indeed? We could make good use of any supplies, hand weapons or marines you possess, purchased at market rates. And the gratitude of $theFaction, once the dust settles.\""""
Nex_RebellionActions main
Nex_RebellionActions printPriceMult",,,
nex_supplyCounterInsurgencyPlayer,DialogOptionSelected,"$option == nex_supplyCounterInsurgency
$market.nex_isTruePlayerOwned","AddText ""\""That would be good. Some supplies, heavy armaments and marines would make putting down the rebellion much easier.\""""
AddTextSmall ""As this is your own market, you will not be paid for the materiel you supply.""
Nex_RebellionActions main",,,
nex_supplyCounterInsurgencyBack,DialogOptionSelected,$option == nex_supplyCounterInsurgencyBack,FireAll PopulateOptions,"""Anything else?""",,
#END Rebellion options,,,,,,
,,,,,,
# Blueprint swap options,,,,,,
nex_blueprintSwapOption,PopulateOptions,"Nex_IsBaseOfficial admin
Nex_BlueprintSwap hasOption",,,nex_blueprintSwapMenu:Exchange blueprints,
nex_blueprintSwapMenuSel,DialogOptionSelected,$option == nex_blueprintSwapMenu,FireAll Nex_BlueprintSwapMenu,"""Ah, good. Looking to buy or sell?""",,
nex_blueprintSwapMenuReturnSel,DialogOptionSelected,$option == nex_blueprintSwapMenuReturn,FireAll Nex_BlueprintSwapMenu,,,
nex_blueprintSwapMenu,Nex_BlueprintSwapMenu,,"AddTextSmall ""You have $nex_BPSwap_pointsStr points.""
SetTextHighlights $nex_BPSwap_pointsStr
SetShortcut nex_blueprintSwapExit ""ESCAPE""",,"nex_blueprintSwapBuy:Purchase blueprints
nex_blueprintSwapSell:Trade in blueprints
nex_blueprintSwapExit:Go back",
nex_blueprintSwapSellOption,DialogOptionSelected,$option == nex_blueprintSwapSell,Nex_BlueprintSwap sell,,,
nex_blueprintSwap_SellResponse,Nex_BlueprintsSold,,FireAll Nex_BlueprintSwapMenu,"""Thank you for your business.""",,
nex_blueprintSwap_ListBuyable,DialogOptionSelected,$option == nex_blueprintSwapBuy,Nex_BlueprintSwap getForSale,,,
nex_blueprintSwapBuyOption,DialogOptionSelected,"Nex_OptionStartsWith ""nex_blueprintSwap_pick_""","Nex_BlueprintSwap buy
AddText ""\""Will this be suitable?\""""
SetShortcut nex_blueprintSwapBuy ""ESCAPE""",,"nex_blueprintSwapConfirmPurchase:Buy this blueprint
nex_blueprintSwapBuy:Go back",
nex_blueprintSwapBuyConfirm,DialogOptionSelected,$option == nex_blueprintSwapConfirmPurchase,"Nex_BlueprintSwap confirmPurchase
Nex_BlueprintSwap getForSale
AddTextSmall ""You have $nex_BPSwap_pointsStr points.""
SetTextHighlights $nex_BPSwap_pointsStr","""Thank you for your business.""",,
nex_blueprintSwapExit,DialogOptionSelected,$option == nex_blueprintSwapExit,FireAll PopulateOptions,,,
#END Blueprint swap options,,,,,,
,,,,,,
# Stabilization package,,,,,,
nex_stabilizePackageOption,PopulateOptions,"$entity.hasMarket
Nex_IsBaseOfficial any
$faction.id != player",,,"11:nex_stabilizePackage_main:""I can help with your unrest problem.""",
nex_stabilizePackageOptionDisabled,PopulateOptions,"$entity.hasMarket
$faction.id != player
!Nex_StabilizePackage enabled","SetTooltip nex_stabilizePackage_main ""$market does not require such assistance at present.""
SetEnabled nex_stabilizePackage_main false",,,
nex_stabilizePackageOptionCooldown,PopulateOptions,"$entity.hasMarket
$faction.id != player
$market.nex_stabilizePackage_cooldown","SetTooltip nex_stabilizePackage_main ""$market has already been recently stabilized. Delivery of further packages will not be worthwhile for $nex_stabilizePackage_textCooldown.""
SetTooltipHighlightColors nex_stabilizePackage_main hColor
SetTooltipHighlights nex_stabilizePackage_main $nex_stabilizePackage_textCooldown
SetEnabled nex_stabilizePackage_main false",,,
nex_stabilizePackageOptionCooldownInvasion,PopulateOptions,"$entity.hasMarket
$faction.id != player
$market.nex_captureStabilizeTimeout","SetTooltip nex_stabilizePackage_main ""$market was recently conquered, and the situation remains too chaotic for stabilization to be feasible. This will last for $nex_stabilizePackage_textInvadeCooldown.""
SetTooltipHighlightColors nex_stabilizePackage_main hColor
SetTooltipHighlights nex_stabilizePackage_main $nex_stabilizePackage_textInvadeCooldown
SetEnabled nex_stabilizePackage_main false",,,
nex_stabilizePackageSelRelief,DialogOptionSelected,"$option == nex_stabilizePackage_main
$market.nex_stabilizePackage_type == ""relief""","Nex_StabilizePackage init
SetShortcut nex_stabilizePackage_cancel ""ESCAPE""","""Truly? We would be most grateful for any assistance you can render. Supplies and food — and of course, credits — would help get the people of $market through their current difficulties.""
OR
""You are most generous, $playerName. A proper contribution of aid materials and credits would greatly aid or relief efforts.""","nex_stabilizePackage_proceed:Deliver the relief package
nex_stabilizePackage_cancel:Reconsider",
nex_stabilizePackageSelRepression,DialogOptionSelected,"$option == nex_stabilizePackage_main
$market.nex_stabilizePackage_type == ""repression""","Nex_StabilizePackage init
SetShortcut nex_stabilizePackage_cancel ""ESCAPE""","""We would welcome your assistance in this matter. An adequate contribution of supplies, munitions and funding would greatly assist our efforts in maintaining order.""
OR
""Indeed? Well, should you have the proper supplies and credits to support our pacification efforts, my superiors would make their gratitude known.""","nex_stabilizePackage_proceed:Deliver the pacification package
nex_stabilizePackage_cancel:Reconsider",
nex_stabilizePackageSelReliefConfirm,DialogOptionSelected,"$option == nex_stabilizePackage_proceed
$market.nex_stabilizePackage_type == ""relief""","Nex_StabilizePackage proceed
FireAll PopulateOptions","""Thank you for your charity. The people of $market are in your debt.""",,
nex_stabilizePackageSelRepressionConfirm,DialogOptionSelected,"$option == nex_stabilizePackage_proceed
$market.nex_stabilizePackage_type == ""repression""","Nex_StabilizePackage proceed
FireAll PopulateOptions","""Very good. $TheFaction is grateful for your assistance in this matter.""",,
nex_stabilizePackageNeverMind,DialogOptionSelected,$option == nex_stabilizePackage_cancel,FireAll PopulateOptions,"""I see. That is unfortunate.

Is there anything else you need?""
OR
""Perhaps generosity has its limits.

Anything else?""",,
#END Stabilization package,,,,,,
,,,,,,
# Grant autonomy,,,,,,
nex_grantAutonomyOption,PopulateOptions,"$entity.hasMarket
Nex_IsBaseOfficial admin
$faction.id == player
!Nex_GrantAutonomy isAutonomous
!$market.nex_autonomySuspended",,,nex_grantAutonomy:Grant autonomy,
nex_revokeAutonomyOption,PopulateOptions,"$entity.hasMarket
Nex_IsBaseOfficial admin
$faction.id == player
Nex_GrantAutonomy isAutonomous
!$market.nex_autonomySuspended",,,nex_revokeAutonomy:Revoke autonomy,
nex_grantAutonomy,DialogOptionSelected,$option == nex_grantAutonomy,"Nex_GrantAutonomy init
AddTextSmall ""An autonomous market will only generate 20% of its usual profit or loss, and will not count towards the player's colony or admin limits. Heavy industry here will not contribute to the player's personal production capacity, although the faction will still benefit from its ship quality bonuses. Tech-mining will not produce items.""
SetTextHighlightColors hColor
SetTextHighlights 20%
AddTextSmall ""Revoking autonomy later will cause $nex_revokeAutonomyUnrest points of recent unrest.""
SetTextHighlightColors bad
SetTextHighlights $nex_revokeAutonomyUnrest
Nex_AddOptionConfirmation nex_grantAutonomy_confirm ""Confirm?"" ""Yes"" ""No""","""So you wish to grant autonomy to $market?""","nex_grantAutonomy_confirm:Proceed
nex_grantAutonomy_cancel:Cancel",
nex_revokeAutonomy,DialogOptionSelected,$option == nex_revokeAutonomy,"Nex_GrantAutonomy init
AddTextSmall ""An autonomous market will only generate 20% of its usual profit or loss, and will not count towards the player's colony or admin limits. Heavy industry here will not contribute to the player's personal production capacity, although the faction will still benefit from its ship quality bonuses. Tech-mining will not produce items.""
SetTextHighlightColors hColor
SetTextHighlights 20%
AddTextSmall ""Revoking autonomy will cause $nex_revokeAutonomyUnrest points of recent unrest.""
SetTextHighlightColors bad
SetTextHighlights $nex_revokeAutonomyUnrest
Nex_AddOptionConfirmation nex_revoketAutonomy_confirm ""Confirm?"" ""Yes"" ""No""","""This is... quite concerning. Do you wish to reassume direct administration of $market?""","nex_revokeAutonomy_confirm:Proceed
nex_grantAutonomy_cancel:Cancel",
nex_grantAutonomyConfirm,DialogOptionSelected,$option == nex_grantAutonomy_confirm,"Nex_GrantAutonomy grant
FireAll PopulateOptions","""$market is now under autonomous administration. Thank you, $playerName.""",,
nex_revokeAutonomyConfirm,DialogOptionSelected,$option == nex_revokeAutonomy_confirm,"Nex_GrantAutonomy revoke
FireAll PopulateOptions","""As you say. $market is now under your direct authority once more, $playerName.""",,
nex_grantAutonomyCancel,DialogOptionSelected,$option == nex_grantAutonomy_cancel,FireAll PopulateOptions,"""Anything else?""",,
,,,,,,
nex_suspendAutonomyOption,PopulateOptions,"$entity.hasMarket
Nex_IsBaseOfficial admin
$faction.id == player
Nex_GrantAutonomy isAutonomous","SetTooltip nex_suspendAutonomy ""Temporarily removes the autonomous state from the colony, allowing you to build or remove industries and add/remove special objects. Colony reverts to being autonomous after undocking. There is no stability penalty.""",,nex_suspendAutonomy:Take temporary control of colony,
nex_suspendAutonomy,DialogOptionSelected,$option == nex_suspendAutonomy,"Nex_GrantAutonomy suspend
FireAll PopulateOptions","Autonomy suspended. Perform the desired operations $onOrAt $market, then undock once complete.",,
,,,,,,
nex_suspendAutonomyRemoteOption,ExerelinMarketSpecial,,,,8:nex_suspendAutonomyRemote:Take temporary control of autonomous colonies,
nex_suspendAutonomyRemoteMenu,DialogOptionSelected,$option == nex_suspendAutonomyRemote,FireAll Nex_RemoteSuspendAutonomy,,,
nex_suspendAutonomyRemoteMenuByTrigger,Nex_RemoteSuspendAutonomy,,Nex_RemoteSuspendAutonomy menu,"Temporarily removes the autonomous state from the selected colony, allowing you to build or remove industries and add/remove special objects. Colony reverts to being autonomous after undocking. There is no stability penalty.",,
nex_suspendAutonomyRemote,DialogOptionSelected,Nex_OptionStartsWith nex_suspendAutonomyRemote_,Nex_RemoteSuspendAutonomy select,,,
#END Grant autonomy,,,,,,
,,,,,,
# Reinforce defenses,,,,,,
#nex_reinforceDefensesOption,PopulateOptions,"$entity.hasMarket
Nex_IsBaseOfficial military
Nex_ReinforceDefenses enabled",,,12:nex_reinforceDefenses_main:Reinforce ground defenses,
#nex_reinforceDefensesSel,DialogOptionSelected,$option == nex_reinforceDefenses_main,"Nex_ReinforceDefenses init
SetShortcut nex_reinforceDefenses_cancel ""ESCAPE""","""If you are anticipating an attack, it may be worth readying and reinforcing our garrison.""","nex_reinforceDefenses_proceed:Deploy reinforcements
nex_reinforceDefenses_cancel:Cancel",
#nex_reinforceDefensesSelConfirm,DialogOptionSelected,$option == nex_reinforceDefenses_proceed,"Nex_ReinforceDefenses proceed
FireAll PopulateOptions",$PersonRank $personLastName confirms the deployment of troops and materiel. The conversation moves on to other matters.,,
#nex_reinforceDefensesNeverMind,DialogOptionSelected,$option == nex_reinforceDefenses_cancel,FireAll PopulateOptions,,,
#END Reinforce defenses,,,,,,
,,,,,,
# Donate admin,,,,,,
nex_donateAdminOption,PopulateOptions,"$entity.hasMarket
Nex_IsBaseOfficial military
Nex_DonateAdmin isEnabled",,,13:nex_donateAdmin:Donate admin,
nex_donateAdmin,DialogOptionSelected,$option == nex_donateAdmin,"Nex_DonateAdmin list
AddTextSmall ""This will install the selected admin at this autonomous colony. The admin will be permanently removed from your party.""
SetTextHighlights ""permanently removed""","""You wish to appoint your own administrator for $market, then?""",,
nex_donateAdminConfirm,DialogOptionSelected,Nex_OptionStartsWith nex_donateAdmin_select_,Nex_DonateAdmin transfer,"""Acknowledged. Goodbye, $playerName.""",cutCommLink:Cut the comm link,
nex_donateAdminNeverMind,DialogOptionSelected,$option == nex_donateAdmin_cancel,FireAll PopulateOptions,,,
#END Donate admin,,,,,,
,,,,,,
# Buy colony governorship,,,,,,
nex_buyColonyOption,PopulateOptions,"$entity.hasMarket
Nex_IsBaseOfficial admin
$faction.id == $player.factionId
$faction.id != player
!Nex_BuyColony isPlayerOwned",FireBest Nex_BuyColonyDisableCheck,,13:nex_buyColony:Purchase governorship of $market,
nex_buyColonyOptionDisable,Nex_BuyColonyDisableCheck,!Nex_BuyColony canBuy,"SetEnabled nex_buyColony false 
SetTooltip nex_buyColony ""Requires:\n- Friendly reputation for size 3\n- Cooperative reputation for size 4\nLarger markets may not be purchased.""
SetTooltipHighlightColors nex_buyColony good hColor good hColor
SetTooltipHighlights nex_buyColony Friendly 3 Cooperative 4",,,
nex_buyColonyOptionDisable2,Nex_BuyColonyDisableCheck,$market.nex_unbuyable score:10,"SetEnabled nex_buyColony false 
SetTooltip nex_buyColony ""$market cannot be purchased.""",,,
nex_buyColonyOptionDisableMacau,Nex_BuyColonyDisableCheck,"$faction.id == tiandong
$market.id == tiandong_macau_market score:15","SetEnabled nex_buyColony false 
SetTooltip nex_buyColony ""$market is under THI's special administration and cannot be purchased.""",,,
nex_cedeColonyOption,PopulateOptions,"$entity.hasMarket
Nex_IsBaseOfficial admin
$faction.id == $player.factionId
$faction.id != player
Nex_BuyColony isPlayerOwned",,,nex_cedeColony:Cede governorship of $market,
nex_buyColony,DialogOptionSelected,$option == nex_buyColony,"FireBest Nex_BuyColonyPromptDialog
Nex_BuyColony init
AddTextSmall ""$market will be placed under your administration. You will collect its revenue and pay its costs, and can build industries and structures on it. Storage is free. Your personal ship construction will benefit from $faction industry.""
AddTextSmall ""You can cede the colony later if you so choose, but will not receive a refund. Your governorship will also be lost if $market is captured by a third party, although should it be retaken you will once again be the administrator. Resigning or losing your commission, on the other hand, results in a permanent revocation.""
Nex_BuyColony printCostAndProcessOptions
Nex_AddOptionConfirmation nex_buyColony_confirm ""Confirm?"" ""Yes"" ""No""",,"nex_buyColony_confirm:Proceed
nex_buyColony_cancel:Cancel",
nex_cedeColony,DialogOptionSelected,$option == nex_cedeColony,"FireBest Nex_CedeColonyPromptDialog
Nex_BuyColony init
AddTextSmall ""You will no longer receive revenue from $market or incur costs, or have any authority over the colony. Storage fees will be collected again.""
Nex_AddOptionConfirmation nex_cedeColony_confirm ""Confirm?"" ""Yes"" ""No""",,"nex_cedeColony_confirm:Proceed
nex_buyColony_cancel:Cancel",
nex_buyColonyPromptDialog_generic,Nex_BuyColonyPromptDialog,,,"""Hmm, perhaps. You have an established reputation, and if you are willing to invest in the development of $market, we could come to a mutually satisfactory arrangement.""",,
nex_cedeColonyPromptDialog_generic,Nex_CedeColonyPromptDialog,,,"""You do not wish to govern $market any longer? That is entirely acceptable to us, but be warned that you will not receive any recompense for this.""",,
nex_buyColonyConfirm,DialogOptionSelected,$option == nex_buyColony_confirm,"FireBest Nex_BuyColonyConfirmDialog
Nex_BuyColony buy
FireAll PopulateOptions","""$market is now under your administration. Welcome to your new duties, $playerName.""",,
nex_cedeColonyConfirm,DialogOptionSelected,$option == nex_cedeColony_confirm,"FireBest Nex_CedeColonyConfirmDialog
Nex_BuyColony cede
FireAll PopulateOptions","""Confirmed. Control of $market has now reverted to $faction administration.""",,
nex_buyColonyCancel,DialogOptionSelected,$option == nex_buyColony_cancel,FireAll PopulateOptions,"""Anything else?""",,
#END Buy colony governorship,,,,,,
,,,,,,
# Other base commander stuff,,,,,,
,,,,,,
# Must be after all other rules with that trigger,,,,,,
nex_baseCommanderOptionsInitializationFinished,ExerelinBaseCommanderOptionsInitialize,,FireAll PopulateOptions,,,
nex_marketSpecialInitializationFinished,ExerelinMarketSpecialInitialize,,FireAll ExerelinMarketSpecial,,,
#END Must be after all other rules with that trigger,,,,,,
#END Other base commander stuff,,,,,,
,,,,,,
# Faction vengeance dialog,,,,,,
greetingVengeanceMadStronger,OpenCommLink,"$entity.relativeStrength >= 0
$entity.escalation == 0
$entity.useVengeanceGreeting score:100
$entity.isHostile",$entity.ignorePlayerCommRequests = true 1,"""$playerName, $theFactionLong $factionIsOrAre not going to suffer you any longer.""
OR
""Your time has come, $playerName.""
OR
""$TheFactionLong sends their regards, $playerName.""",cutCommLink:Cut the comm link,
greetingVengeanceMadWeakerDefiant,OpenCommLink,"$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding
$entity.escalation == 0
$entity.useVengeanceGreeting score:100
$entity.isHostile",$entity.ignorePlayerCommRequests = true 1,"""$playerName, $theFactionLong $factionIsOrAre not going to suffer you any longer.""
OR
""Your time has come, $playerName.""
OR
""$TheFactionLong sends their regards, $playerName.""",cutCommLink:Cut the comm link,
